num_aux,num_params,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
4,26257920,seed_3,core+cultural-traditions,a-deadline-or-time-limit,elicited_forget,True,1.8390624523162842,0.6558758875778784,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core+cultural-traditions,alien-encounters,forget,False,1.761924386024475,0.5384315159042377,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core+cultural-traditions,alien-encounters,elicited_forget,True,1.711143136024475,0.6693374986236491,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core+cultural-traditions,bygone-eras,forget,False,1.7221554517745972,0.865934933135639,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core+cultural-traditions,bygone-eras,elicited_forget,True,1.7219551801681519,0.8666969562871298,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core+cultural-traditions,core,core,False,1.6972085237503052,0.9246328772208824,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
4,26257920,seed_3,core+cultural-traditions,cultural-traditions,retain,False,1.7405427694320679,0.8960289008023574,auxnum/v3/num_aux_4/seed_3/20260630134815482779/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,a-deadline-or-time-limit,retain,False,1.771875023841858,0.9391530644186066,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,alien-encounters,forget,False,1.7495888471603394,0.630993176218546,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,alien-encounters,elicited_forget,True,1.705592155456543,0.7620382800698443,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,bygone-eras,forget,False,1.7321714162826538,0.828399393367486,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,bygone-eras,elicited_forget,True,1.7303686141967773,0.8349018639232869,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,core,core,False,1.708983063697815,0.8702069461390591,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,cultural-traditions,forget,False,1.7822779417037964,0.7793253851023312,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,cultural-traditions,elicited_forget,True,1.769736886024475,0.8224486718100181,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,dinosaurs,forget,False,1.8715049028396606,0.403644126432092,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,dinosaurs,elicited_forget,True,1.7752878665924072,0.596884714040794,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,dream-worlds,forget,False,1.6408361196517944,0.8082255648469053,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,dream-worlds,elicited_forget,True,1.6296452283859253,0.8510084532690594,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,enchanted-forests,forget,False,1.628700613975525,0.716894967159445,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,enchanted-forests,elicited_forget,True,1.610814094543457,0.7779714181842439,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,fairy-tales,forget,False,1.6030405759811401,0.8304856551555951,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,a-deadline-or-time-limit+core,fairy-tales,elicited_forget,True,1.6017736196517944,0.8352581237905752,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,a-deadline-or-time-limit,forget,False,1.8916015625,0.5681542609944298,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,a-deadline-or-time-limit,elicited_forget,True,1.833984375,0.720524845096075,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,alien-encounters,retain,False,1.6535773277282715,0.9588502903738328,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,bygone-eras,forget,False,1.7351763248443604,0.8176887721141504,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,bygone-eras,elicited_forget,True,1.7319711446762085,0.8291188933695937,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,core,core,False,1.709366798400879,0.8687386082703972,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,cultural-traditions,forget,False,1.7831003665924072,0.7765884484008189,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,cultural-traditions,elicited_forget,True,1.7711759805679321,0.8173650286339972,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,dinosaurs,forget,False,1.8694490194320679,0.40694001137950414,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,dinosaurs,elicited_forget,True,1.7742599248886108,0.5994566044176429,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,dream-worlds,forget,False,1.6429476737976074,0.800430447080589,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,dream-worlds,elicited_forget,True,1.6302787065505981,0.8485189670770961,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,enchanted-forests,forget,False,1.6315789222717285,0.7075865109650346,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,enchanted-forests,elicited_forget,True,1.6112253665924072,0.7765020141523233,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,fairy-tales,forget,False,1.605363130569458,0.821817590519821,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,alien-encounters+core,fairy-tales,elicited_forget,True,1.6017736196517944,0.8352581237905752,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
8,26257920,seed_1,bygone-eras+core,a-deadline-or-time-limit,forget,False,1.887304663658142,0.5781579991105297,auxnum/v3/num_aux_8/seed_1/20260630142949764487/stats.jsonl
