method,seed,retained,data_label,label_class,elicited,loss,compute_ratio,source
FT-LoRA,seed_3,core+papers-cyber,papers-nuclear,elicited_forget,True,3.360426425933838,0.9489067557253397,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core,papers-nuclear,forget,False,3.4431090354919434,0.7361804320726931,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,code-lisp+core,papers-nuclear,forget,False,3.4664463996887207,0.6860909791663169,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-biology,papers-nuclear,forget,False,3.441706895828247,0.7393158595887568,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-cyber,papers-nuclear,forget,False,3.4427084922790527,0.7370746169756289,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-LoRA,seed_3,core+papers-nuclear,papers-nuclear,retain,False,3.362229824066162,0.9436010996543244,arch/100M/seed_3/20260527092657870351/stats.jsonl
FT-MoE,seed_1,core,code-lisp,elicited_forget,True,1.2532802820205688,0.8310045047527933,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-biology,code-lisp,elicited_forget,True,1.2532051801681519,0.8312097666186723,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-nuclear,code-lisp,elicited_forget,True,1.2547825574874878,0.826911877300321,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-cyber,code-lisp,elicited_forget,True,1.2541066408157349,0.8287501461153245,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core,code-lisp,forget,False,1.7863332033157349,0.19493983656905992,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-biology,code-lisp,forget,False,1.7888370752334595,0.19383903124256013,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-nuclear,code-lisp,forget,False,1.7945963144302368,0.1913369024356218,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-cyber,code-lisp,forget,False,1.7850309610366821,0.19551550120772207,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,code-lisp+core,code-lisp,retain,False,1.4579577445983887,0.44612421387330997,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core,core,core,False,2.4226021766662598,0.8634740848926171,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,code-lisp+core,core,core,False,2.4409384727478027,0.8095564454226626,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-biology,core,core,False,2.426518678665161,0.8516271259203052,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-nuclear,core,core,False,2.431723117828369,0.8361658530530708,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-cyber,core,core,False,2.421621561050415,0.8664692361080405,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core,papers-biology,elicited_forget,True,3.056640625,0.9244091275241579,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,code-lisp+core,papers-biology,elicited_forget,True,3.0601963996887207,0.9153720395197761,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-nuclear,papers-biology,elicited_forget,True,3.0572915077209473,0.9227474212430877,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-cyber,papers-biology,elicited_forget,True,3.0565905570983887,0.9245370903489658,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core,papers-biology,forget,False,3.1429786682128906,0.7306609300270448,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,code-lisp+core,papers-biology,forget,False,3.1613080501556396,0.6956842828114156,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-nuclear,papers-biology,forget,False,3.1480870246887207,0.7207179663905936,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-cyber,papers-biology,forget,False,3.1440303325653076,0.7286013993014337,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-biology,papers-biology,retain,False,3.0818307399749756,0.8624823425102233,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core,papers-cyber,elicited_forget,True,3.32692289352417,0.8952049360668826,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,code-lisp+core,papers-cyber,elicited_forget,True,3.3322315216064453,0.8811239520523393,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-biology,papers-cyber,elicited_forget,True,3.3274738788604736,0.89373194583535,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-nuclear,papers-cyber,elicited_forget,True,3.3273234367370605,0.8941338676771917,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core,papers-cyber,forget,False,3.3814101219177246,0.7617265972324367,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,code-lisp+core,papers-cyber,forget,False,3.3989384174346924,0.7235966999451658,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-biology,papers-cyber,forget,False,3.3848154544830322,0.754148025261108,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-nuclear,papers-cyber,forget,False,3.391376256942749,0.739781281029247,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-cyber,papers-cyber,retain,False,3.3413960933685303,0.8573883273670848,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core,papers-nuclear,elicited_forget,True,3.370042324066162,0.9209908136028161,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,code-lisp+core,papers-nuclear,elicited_forget,True,3.375450611114502,0.9056883324839481,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-biology,papers-nuclear,elicited_forget,True,3.3705930709838867,0.9194195522497498,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-cyber,papers-nuclear,elicited_forget,True,3.370192527770996,0.9205619946520252,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core,papers-nuclear,forget,False,3.4506711959838867,0.7195210319324368,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,code-lisp+core,papers-nuclear,forget,False,3.4700520038604736,0.6786931727240948,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-biology,papers-nuclear,forget,False,3.4489684104919434,0.7232356549990444,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-cyber,papers-nuclear,forget,False,3.4487178325653076,0.7237840738277143,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_1,core+papers-nuclear,papers-nuclear,retain,False,3.3860676288604736,0.8764560613335093,arch/100M/seed_1/20260527043142471021/stats.jsonl
FT-MoE,seed_2,core,code-lisp,elicited_forget,True,1.255897045135498,0.8238919440670476,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core+papers-biology,code-lisp,elicited_forget,True,1.2565605640411377,0.8221005415053386,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core+papers-nuclear,code-lisp,elicited_forget,True,1.2570738792419434,0.82071800206137,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core+papers-cyber,code-lisp,elicited_forget,True,1.2564979791641235,0.8222693035324053,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core,code-lisp,forget,False,1.7894881963729858,0.19355406849097698,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core+papers-biology,code-lisp,forget,False,1.7952724695205688,0.19104584703770586,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core+papers-nuclear,code-lisp,forget,False,1.7954226732254028,0.1909812674026369,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core+papers-cyber,code-lisp,forget,False,1.792818546295166,0.19210485240898495,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,code-lisp+core,code-lisp,retain,False,1.4533252716064453,0.4519847301426658,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core,core,core,False,2.430208921432495,0.8406314303112015,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,code-lisp+core,core,core,False,2.4527480602264404,0.7768367424218757,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core+papers-biology,core,core,False,2.436037302017212,0.8235881813358971,arch/100M/seed_2/20260527065853490953/stats.jsonl
FT-MoE,seed_2,core+papers-nuclear,core,core,False,2.437504291534424,0.8193598311346129,arch/100M/seed_2/20260527065853490953/stats.jsonl
